Year,Type of period,Period,Avg rainfall(in mm) 
2010,Monthly,JAN,69.5
2010,Monthly,FEB,71.7
2010,Monthly,MAR,65.1
2010,Monthly,APR,21.4
2010,Monthly,MAY,22.1
2010,Monthly,JUN,42.7
2010,Monthly,JUL,61.1
2010,Monthly,AUG,76.6
2010,Monthly,SEP,83.9
2010,Monthly,OCT,65
2010,Monthly,NOV,118.2
2010,Monthly,DEC,40.7
2010,Season,Winter,228.7
2010,Season,Spring,108.6
2010,Season,Summer,180.5
2010,Season,Autumn,267.2
2010,Calendar Year,Annual,738.3
2011,Monthly,JAN,54.5
2011,Monthly,FEB,82
2011,Monthly,MAR,20.5
2011,Monthly,APR,10.3
2011,Monthly,MAY,48.5
2011,Monthly,JUN,62.9
2011,Monthly,JUL,71.7
2011,Monthly,AUG,94.1
2011,Monthly,SEP,43.2
2011,Monthly,OCT,62.1
2011,Monthly,NOV,35.6
2011,Monthly,DEC,76.2
2011,Season,Winter,177.2
2011,Season,Spring,79.4
2011,Season,Summer,228.7
2011,Season,Autumn,140.9
2011,Calendar Year,Annual,661.7
2012,Monthly,JAN,47.2
2012,Monthly,FEB,24.2
2012,Monthly,MAR,21.9
2012,Monthly,APR,140.9
2012,Monthly,MAY,62.3
2012,Monthly,JUN,141.5
2012,Monthly,JUL,96.3
2012,Monthly,AUG,87.6
2012,Monthly,SEP,95.3
2012,Monthly,OCT,86.4
2012,Monthly,NOV,111.8
2012,Monthly,DEC,127.7
2012,Season,Winter,147.6
2012,Season,Spring,225.1
2012,Season,Summer,325.4
2012,Season,Autumn,293.5
2012,Calendar Year,Annual,1043
2013,Monthly,JAN,69.8
2013,Monthly,FEB,34.3
2013,Monthly,MAR,60.1
2013,Monthly,APR,22.1
2013,Monthly,MAY,76.4
2013,Monthly,JUN,40.8
2013,Monthly,JUL,55.9
2013,Monthly,AUG,61.2
2013,Monthly,SEP,44.1
2013,Monthly,OCT,111.5
2013,Monthly,NOV,52.5
2013,Monthly,DEC,76.7
2013,Season,Winter,231.8
2013,Season,Spring,158.6
2013,Season,Summer,157.9
2013,Season,Autumn,208.1
2013,Calendar Year,Annual,705.5
2014,Monthly,JAN,118.5
2014,Monthly,FEB,81.8
2014,Monthly,MAR,44.2
2014,Monthly,APR,42
2014,Monthly,MAY,104.4
2014,Monthly,JUN,45.5
2014,Monthly,JUL,54.7
2014,Monthly,AUG,96.2
2014,Monthly,SEP,18.2
2014,Monthly,OCT,83
2014,Monthly,NOV,81.6
2014,Monthly,DEC,61.1
2014,Season,Winter,277.1
2014,Season,Spring,190.7
2014,Season,Summer,196.4
2014,Season,Autumn,182.7
2014,Calendar Year,Annual,831.2
2015,Monthly,JAN,62.7
2015,Monthly,FEB,37
2015,Monthly,MAR,45.6
2015,Monthly,APR,25.6
2015,Monthly,MAY,82.5
2015,Monthly,JUN,34.9
2015,Monthly,JUL,85.3
2015,Monthly,AUG,73.2
2015,Monthly,SEP,39.1
2015,Monthly,OCT,65
2015,Monthly,NOV,116.6
2015,Monthly,DEC,148
2015,Season,Winter,160.8
2015,Season,Spring,153.8
2015,Season,Summer,193.3
2015,Season,Autumn,220.7
2015,Calendar Year,Annual,815.5
2016,Monthly,JAN,121.7
2016,Monthly,FEB,53
2016,Monthly,MAR,66.3
2016,Monthly,APR,70.3
2016,Monthly,MAY,36.2
2016,Monthly,JUN,76.5
2016,Monthly,JUL,51.2
2016,Monthly,AUG,73.2
2016,Monthly,SEP,48.6
2016,Monthly,OCT,50.1
2016,Monthly,NOV,93.1
2016,Monthly,DEC,37.9
2016,Season,Winter,322.6
2016,Season,Spring,172.9
2016,Season,Summer,200.9
2016,Season,Autumn,191.8
2016,Calendar Year,Annual,778.2
2017,Monthly,JAN,39.4
2017,Monthly,FEB,65.9
2017,Monthly,MAR,63.9
2017,Monthly,APR,19.4
2017,Monthly,MAY,42.9
2017,Monthly,JUN,116
2017,Monthly,JUL,81.7
2017,Monthly,AUG,64.4
2017,Monthly,SEP,85
2017,Monthly,OCT,50.1
2017,Monthly,NOV,69.1
2017,Monthly,DEC,56.8
2017,Season,Winter,143.2
2017,Season,Spring,126.1
2017,Season,Summer,262
2017,Season,Autumn,204.2
2017,Calendar Year,Annual,754.5
2018,Monthly,JAN,71.5
2018,Monthly,FEB,46.7
2018,Monthly,MAR,95.3
2018,Monthly,APR,78.2
2018,Monthly,MAY,35.5
2018,Monthly,JUN,26.6
2018,Monthly,JUL,42.6
2018,Monthly,AUG,57.7
2018,Monthly,SEP,58.6
2018,Monthly,OCT,66.3
2018,Monthly,NOV,71.6
2018,Monthly,DEC,71
2018,Season,Winter,175.1
2018,Season,Spring,209
2018,Season,Summer,126.9
2018,Season,Autumn,196.4
2018,Calendar Year,Annual,721.6
2019,Monthly,JAN,22.8
2019,Monthly,FEB,36.2
2019,Monthly,MAR,82.2
2019,Monthly,APR,27.7
2019,Monthly,MAY,52.1
2019,Monthly,JUN,114.3
2019,Monthly,JUL,75.6
2019,Monthly,AUG,89.1
2019,Monthly,SEP,104.9
2019,Monthly,OCT,115.4
2019,Monthly,NOV,124
2019,Monthly,DEC,61.4
2019,Season,Winter,130.4
2019,Season,Spring,162.1
2019,Season,Summer,279
2019,Season,Autumn,344.4
2019,Calendar Year,Annual,905.9
